S.No,Name,Date ,Time ,Lan,Lat,SensorId,PressureSensor,TempratureSensor,VolumeSensor(dm2)
1,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:00,19.66328,75.300293,7AEF1,300.5,26.1,25
2,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:05,19.66328,75.300293,7AEF1,300.5,26.1,24
3,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:10,19.66328,75.300293,7AEF1,55,26,24
4,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:15,19.66328,75.300293,7AEF1,400.6,26.6,25
5,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:20,19.66328,75.300293,7AEF1,300.5,26.8,24
6,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:25,19.66328,75.300293,7AEF1,300.5,26,24
7,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:30,19.66328,75.300293,7AEF1,325,26.2,25
8,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:35,19.66328,75.300293,7AEF1,1800,,24
9,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:40,19.66328,75.300293,7AEF1,400.6,26,25
10,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:45,19.66328,75.300293,7AEF1,300.5,26.55,26
11,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:50,19.66328,75.300293,7AEF1,12,26,24
12,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,7:55,19.66328,75.300293,7AEF1,400.2,26.4,24
13,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:00,19.66328,75.300293,7AEF1,299,26.7,26
14,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:05,19.66328,75.300293,7AEF1,300.5,,25
15,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:10,19.66328,75.300293,7AEF1,400.6,26.55,24
16,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:15,19.66328,75.300293,7AEF1,325,26.7,25
17,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:20,19.66328,75.300293,7AEF1,300.5,26,24
18,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:25,19.66328,75.300293,7AEF1,18.5,26.55,24
19,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:30,19.66328,75.300293,7AEF1,300.5,26,25
20,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:35,19.66328,75.300293,7AEF1,400.2,26,24
21,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:40,19.66328,75.300293,7AEF1,300.5,26.1,24
22,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:45,19.66328,75.300293,7AEF1,300.5,,24
23,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:50,19.66328,75.300293,7AEF1,328.5,26.1,24
24,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,8:55,19.66328,75.300293,7AEF1,300.5,26,24
25,Gadimoga-Bhadbhut Trunk (Reliance East- West Pipeline),2/8/2016,9:00,19.66328,75.300293,7AEF1,328.5,26.55,25
